job,operation,machine,start,end,delay
FT06_J1,1,2,0.0,2.0,1.0
FT06_J2,1,1,0.0,10.0,2.0
FT06_J3,1,2,2.0,10.0,3.0
FT06_J4,1,1,10.0,15.0,0.0
FT06_J5,1,2,10.0,20.0,1.0
FT06_J6,1,1,15.0,22.0,4.0
FT06_J1,2,0,2.0,7.0,2.0
FT06_J2,2,2,20.0,25.0,0.0
FT06_J3,2,3,10.0,16.0,2.0
FT06_J4,2,0,15.0,22.0,2.0
FT06_J5,2,1,22.0,30.0,5.0
FT06_J6,2,3,22.0,30.0,5.0
FT06_J1,3,1,30.0,38.0,2.0
FT06_J2,3,4,25.0,36.0,1.0
FT06_J3,3,5,16.0,28.0,4.0
FT06_J4,3,2,25.0,33.0,3.0
FT06_J5,3,4,36.0,43.0,2.0
FT06_J6,3,5,30.0,41.0,2.0
FT06_J1,4,3,38.0,48.0,3.0
FT06_J2,4,5,41.0,56.0,5.0
FT06_J3,4,0,28.0,39.0,2.0
FT06_J4,4,3,48.0,52.0,1.0
FT06_J5,4,5,56.0,64.0,4.0
FT06_J6,4,0,41.0,54.0,3.0
FT06_J1,5,5,64.0,72.0,5.0
FT06_J2,5,0,56.0,70.0,4.0
FT06_J3,5,1,39.0,41.0,1.0
FT06_J4,5,4,52.0,63.0,3.0
FT06_J5,5,0,70.0,78.0,5.0
FT06_J6,5,4,63.0,68.0,1.0
FT06_J1,6,4,72.0,83.0,5.0
FT06_J2,6,3,70.0,75.0,1.0
FT06_J3,6,4,83.0,91.0,1.0
FT06_J4,6,5,72.0,83.0,2.0
FT06_J5,6,3,78.0,82.0,3.0
FT06_J6,6,2,68.0,69.0,0.0
