job,operation,machine,start,end,delay
FT06_J3,1,2,0.0,8.0,3.0
FT06_J3,2,3,8.0,14.0,2.0
FT06_J6,1,1,0.0,7.0,4.0
FT06_J6,2,3,14.0,22.0,5.0
FT06_J1,1,2,8.0,10.0,1.0
FT06_J4,1,1,7.0,12.0,0.0
FT06_J5,1,2,10.0,20.0,1.0
FT06_J2,1,1,12.0,22.0,2.0
FT06_J3,3,5,14.0,26.0,4.0
FT06_J1,2,0,10.0,15.0,2.0
FT06_J4,2,0,15.0,22.0,2.0
FT06_J2,2,2,22.0,27.0,0.0
FT06_J6,3,5,26.0,37.0,2.0
FT06_J2,3,4,27.0,38.0,1.0
FT06_J5,2,1,22.0,30.0,5.0
FT06_J3,4,0,26.0,37.0,2.0
FT06_J4,3,2,27.0,35.0,3.0
FT06_J1,3,1,30.0,38.0,2.0
FT06_J2,4,5,38.0,53.0,5.0
FT06_J3,5,1,38.0,40.0,1.0
FT06_J6,4,0,37.0,50.0,3.0
FT06_J5,3,4,38.0,45.0,2.0
FT06_J4,4,3,35.0,39.0,1.0
FT06_J3,6,4,45.0,53.0,1.0
FT06_J2,5,0,53.0,67.0,4.0
FT06_J5,4,5,53.0,61.0,4.0
FT06_J1,4,3,39.0,49.0,3.0
FT06_J5,5,0,67.0,75.0,5.0
FT06_J4,5,4,53.0,64.0,3.0
FT06_J6,5,4,64.0,69.0,1.0
FT06_J1,5,5,61.0,69.0,5.0
FT06_J2,6,3,67.0,72.0,1.0
FT06_J6,6,2,69.0,70.0,0.0
FT06_J4,6,5,69.0,80.0,2.0
FT06_J1,6,4,69.0,80.0,5.0
FT06_J5,6,3,75.0,79.0,3.0
